"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","sales","salary","income"
"202",0.39,0.5,2,135,3,0,1,0,"support","low",38784
"203",0.76,1,5,219,5,0,1,0,"support","low",34249
"204",0.1,0.93,6,256,4,0,1,0,"support","low",39911
"205",0.87,0.9,5,254,6,0,1,0,"support","low",34934
"206",0.38,0.5,2,153,3,0,1,0,"support","low",32825
"207",0.77,0.99,5,228,5,0,1,0,"support","low",35324
"208",0.78,0.87,4,228,5,0,1,0,"support","low",37852
"209",0.44,0.5,2,128,3,0,1,0,"support","low",32547
"210",0.38,0.52,2,153,3,0,1,0,"support","low",34535
"211",0.43,0.46,2,156,3,0,1,0,"technical","low",39003
"212",0.39,0.5,4,294,3,0,1,0,"technical","low",38189
"213",0.88,1,5,219,5,0,1,0,"technical","low",37092
"214",0.45,0.46,2,153,3,0,1,0,"management","low",24087
"215",0.4,0.53,2,151,3,0,1,0,"IT","low",36036
"216",0.36,0.51,2,155,3,0,1,0,"IT","low",25383
"217",0.36,0.48,2,158,3,0,1,0,"IT","low",38643
"218",0.9,0.98,5,245,5,0,1,0,"IT","low",36470
"219",0.43,0.53,2,131,3,0,1,0,"IT","low",31707
"220",0.89,0.87,5,225,5,0,1,0,"product_mng","low",33357
"221",0.1,0.84,6,286,4,0,1,0,"product_mng","low",39472
"222",0.37,0.5,2,135,3,0,1,0,"product_mng","low",36327
"223",0.37,0.51,2,153,3,0,1,0,"product_mng","low",33415
"224",0.87,0.9,5,252,5,0,1,0,"IT","low",37680
"225",0.4,0.56,2,149,3,0,1,0,"accounting","low",31729
"226",0.9,0.97,4,258,5,0,1,0,"accounting","low",39545
"227",0.37,0.46,2,158,3,0,1,0,"hr","low",37307
"228",0.44,0.54,2,149,3,0,1,0,"hr","low",35989
"229",0.85,0.95,5,236,5,0,1,0,"hr","low",38654
"230",0.78,0.98,5,239,6,0,1,0,"marketing","low",39121
"231",0.42,0.47,2,159,3,0,1,0,"marketing","low",19748
"232",0.92,0.99,5,255,6,0,1,0,"sales","low",33981
"233",0.11,0.83,6,244,4,0,1,0,"accounting","low",39466
"234",0.42,0.56,2,134,3,0,1,0,"support","low",36188
"235",0.48,0.57,4,270,4,0,1,0,"technical","low",27936
"236",0.83,0.85,4,255,5,0,1,0,"management","low",23866
"237",0.4,0.53,2,151,3,0,1,0,"marketing","low",39499
"238",0.43,0.45,2,135,3,0,1,0,"marketing","low",34160
"239",0.43,0.53,2,146,3,0,1,0,"marketing","low",31002
"240",0.1,0.97,7,254,4,0,1,0,"sales","low",31775
"241",0.1,0.87,7,289,4,0,1,0,"sales","low",32786
"242",0.37,0.46,2,156,3,0,1,0,"sales","low",24126
"243",0.38,0.53,2,156,3,0,1,0,"sales","low",36550
"244",0.4,0.5,2,128,3,0,1,0,"sales","low",34335
"245",0.89,0.86,5,275,5,0,1,0,"sales","low",39838
"246",0.45,0.46,2,155,3,0,1,0,"sales","low",38450
"247",0.37,0.48,2,159,3,0,1,0,"sales","low",39967
"248",0.46,0.49,2,148,3,0,1,0,"sales","low",30977
"249",0.87,0.91,4,228,5,0,1,0,"sales","low",33490
"250",0.11,0.84,6,298,4,0,1,0,"sales","low",21883
"251",0.79,0.87,5,261,5,0,1,0,"sales","low",31255
"252",0.79,0.92,5,254,6,0,1,0,"sales","low",25480
"253",0.19,0.59,7,192,3,0,1,0,"sales","low",32371
"254",0.87,0.98,4,248,5,0,1,0,"sales","low",32065
"255",0.6,0.92,2,258,5,0,1,0,"sales","low",38342
"256",0.44,0.45,2,156,3,0,1,0,"sales","medium",40545
"257",0.11,0.81,6,266,4,1,1,0,"sales","medium",52315
"258",0.42,0.54,2,156,3,0,1,0,"sales","medium",41069
"259",0.88,0.88,5,232,5,1,1,0,"accounting","medium",42926
"260",0.11,0.84,6,287,4,0,1,0,"accounting","medium",57532
"261",0.46,0.46,2,154,3,0,1,0,"accounting","medium",65632
"262",0.82,0.97,5,263,5,0,1,0,"hr","medium",44161
"263",0.44,0.56,2,131,3,0,1,0,"hr","medium",48379
"264",0.11,0.78,6,260,4,0,1,0,"hr","medium",51254
"265",0.42,0.5,2,139,3,0,1,0,"hr","medium",55885
"266",0.84,0.93,4,251,5,0,1,0,"technical","medium",60764
"267",0.11,0.95,6,286,4,0,1,0,"technical","medium",49239
"268",0.45,0.53,2,129,3,0,1,0,"technical","high",82985
"269",0.38,0.56,2,156,3,0,1,0,"technical","low",38297
"270",0.38,0.86,6,139,6,0,1,0,"technical","medium",54828
"271",0.44,0.51,2,127,3,0,1,0,"technical","medium",54394
"272",0.11,0.84,6,251,4,0,1,0,"technical","medium",47461
"273",0.81,0.93,5,270,5,0,1,0,"technical","medium",68751
"274",0.09,0.96,6,296,4,0,1,0,"technical","low",32173
"275",0.11,0.9,6,254,4,0,1,0,"technical","low",29208
"276",0.81,0.95,5,238,6,0,1,0,"technical","low",31424
"277",0.1,0.97,6,267,4,1,1,0,"support","low",22788
"278",0.74,0.89,5,229,6,0,1,0,"support","low",35015
"279",0.09,0.78,6,254,4,0,1,0,"support","low",35706
"280",0.82,0.81,4,233,4,1,1,0,"support","low",34396
"281",0.1,0.98,6,268,4,0,1,0,"support","low",38978
"282",0.27,0.56,3,301,3,0,1,0,"support","low",37136
"283",0.83,0.92,5,267,6,0,1,0,"support","low",36587
"284",0.1,0.93,6,289,4,1,1,0,"support","low",38784
"285",0.38,0.47,2,144,3,0,1,0,"support","low",36354
"286",0.4,0.56,2,148,3,0,1,0,"support","low",37753
"287",0.11,0.83,6,306,4,0,1,0,"support","low",28069
"288",0.11,0.79,6,292,4,0,1,1,"technical","low",28666
"289",0.82,0.91,5,232,5,0,1,0,"technical","low",34177
"290",0.36,0.48,2,137,3,0,1,0,"technical","low",25377
"291",0.4,0.46,2,128,3,0,1,0,"management","low",33359
"292",0.87,0.84,5,231,5,0,1,0,"IT","low",34847
"293",0.41,0.49,2,146,3,0,1,0,"IT","low",26036
"294",0.11,0.91,6,308,4,1,1,0,"IT","low",31209
"295",0.1,0.93,6,253,4,0,1,0,"IT","medium",42529
"296",0.38,0.51,2,146,3,0,1,0,"IT","medium",45022
"297",0.39,0.55,2,156,3,0,1,0,"product_mng","medium",41211
"298",0.4,0.52,2,147,3,0,1,0,"product_mng","medium",59744
"299",0.45,0.48,2,136,3,0,1,0,"product_mng","medium",54297
"300",0.74,0.84,5,249,5,0,1,0,"product_mng","medium",53985
"301",0.45,0.55,2,151,3,0,1,0,"IT","medium",43210
"302",0.12,1,3,278,4,0,1,0,"RandD","medium",44373
"303",0.1,0.77,7,250,5,0,1,0,"RandD","medium",51660
"304",0.37,0.55,2,127,3,0,1,0,"RandD","medium",69278
"305",0.89,0.87,5,255,5,0,1,0,"RandD","medium",52509
"306",0.45,0.47,2,135,3,0,1,0,"RandD","medium",53658
"307",0.37,0.46,2,149,3,0,1,0,"marketing","high",73443
"308",0.11,0.81,5,287,4,0,1,0,"sales","low",36436
"309",0.41,0.48,2,145,3,0,1,0,"accounting","medium",62713
"310",0.1,0.94,6,285,4,0,1,0,"support","medium",49857
"311",0.1,0.93,7,305,4,0,1,0,"technical","medium",55606
"312",0.11,0.95,7,300,4,0,1,0,"management","medium",55775
"313",0.4,0.54,2,139,3,0,1,0,"marketing","low",39246
"314",0.41,0.49,2,130,3,0,1,0,"marketing","low",31979
"315",0.1,0.81,6,268,4,0,1,0,"marketing","low",23618
"316",0.73,0.86,4,245,6,0,1,0,"sales","low",28461
"317",0.43,0.47,2,135,3,0,1,0,"sales","low",38665
"318",0.37,0.46,2,153,3,0,1,0,"sales","low",31628
"319",0.11,0.94,6,276,4,0,1,0,"sales","low",29132
"320",0.4,0.46,2,130,3,0,1,0,"sales","low",29445
"321",0.41,0.54,2,153,3,1,1,0,"sales","low",36165
"322",0.82,0.84,5,244,5,0,1,0,"sales","low",35973
"323",0.61,0.47,2,253,3,0,1,0,"sales","low",20536
"324",0.11,0.91,7,287,4,0,1,0,"sales","low",36734
"325",0.37,0.45,2,131,3,0,1,0,"sales","low",33354
"326",0.41,0.52,2,135,3,0,1,0,"sales","low",37359
"327",0.37,0.52,2,157,3,0,1,0,"sales","low",36859
"328",0.88,0.99,5,262,6,0,1,0,"sales","low",24752
"329",0.1,0.85,6,266,4,0,1,0,"sales","low",39127
"330",0.44,0.48,2,148,3,0,1,0,"sales","low",36298
"331",0.38,0.57,2,140,3,0,1,0,"sales","low",30066
"332",0.11,0.85,7,302,4,0,1,0,"sales","low",16404
"333",0.09,0.98,6,271,4,0,1,0,"sales","low",36049
"334",0.45,0.52,2,145,3,0,1,0,"sales","medium",54148
"335",0.1,0.81,6,290,4,0,1,0,"accounting","medium",40926
"336",0.45,0.47,2,151,3,0,1,0,"accounting","medium",56344
"337",0.77,0.87,5,266,5,0,1,0,"accounting","medium",55401
"338",0.44,0.51,2,140,3,0,1,0,"hr","medium",46571
"339",0.39,0.5,2,142,3,0,1,0,"hr","medium",65037
"340",0.1,0.91,6,246,4,0,1,0,"hr","medium",56593
"341",0.09,0.89,7,308,5,0,1,0,"hr","medium",42255
"342",0.37,0.47,2,141,3,0,1,0,"technical","medium",56714
"343",0.9,1,5,232,5,0,1,0,"technical","medium",44094
"344",0.41,0.56,2,143,3,0,1,0,"technical","medium",56477
"345",0.37,0.52,2,155,3,0,1,0,"technical","medium",46999
"346",0.1,0.86,6,278,4,0,1,0,"technical","high",74027
"347",0.81,1,4,253,5,0,1,0,"technical","low",34956
"348",0.11,0.8,6,282,4,0,1,0,"technical","medium",50473
"349",0.11,0.84,7,264,4,0,1,0,"technical","medium",50135
"350",0.4,0.46,2,149,3,0,1,0,"technical","medium",51036
"351",0.09,0.8,6,304,5,0,1,0,"technical","medium",67635
"352",0.48,0.93,3,219,6,0,1,0,"technical","low",39647
"353",0.91,0.91,4,262,6,0,1,0,"support","low",39899
"354",0.43,0.57,2,135,3,0,1,0,"support","low",27100
"355",0.33,0.88,6,219,5,0,1,0,"support","low",38342
"356",0.41,0.57,2,136,3,0,1,0,"support","low",29388
"357",0.41,0.55,2,154,3,0,1,0,"support","low",34708
"358",0.37,0.54,2,149,3,0,1,0,"support","low",31696
"359",0.31,0.62,6,135,5,0,1,0,"support","low",29181
"360",0.09,0.91,6,275,4,0,1,0,"support","low",34607
"361",0.1,0.87,6,290,4,0,1,0,"support","low",30605
"362",0.76,0.9,4,263,5,0,1,0,"support","low",35724
"363",0.41,0.54,2,145,3,0,1,0,"support","low",39532
"364",0.72,0.96,5,267,5,0,1,0,"technical","low",37465
"365",0.4,0.5,2,141,3,1,1,0,"technical","low",33794
"366",0.91,0.87,4,235,5,0,1,0,"technical","low",29449
"367",0.1,0.83,6,258,4,0,1,0,"management","low",39398
"368",0.4,0.56,2,131,3,0,1,0,"IT","low",36732
"369",0.82,0.86,5,243,5,0,1,0,"IT","low",32669
"370",0.1,0.82,6,266,4,0,1,0,"IT","low",36695
"371",0.37,0.45,2,142,3,0,1,0,"IT","low",27416
"372",0.36,0.51,2,135,3,0,1,0,"IT","low",27070
"373",0.39,0.48,2,141,3,0,1,0,"product_mng","medium",44351
"374",0.36,0.57,2,142,3,0,1,0,"product_mng","medium",57825
"375",0.86,0.84,5,254,5,0,1,0,"product_mng","medium",43117
"376",0.73,0.99,5,262,5,0,1,0,"product_mng","medium",49863
"377",0.56,0.71,4,296,2,0,1,0,"IT","medium",48370
"378",0.44,0.56,2,158,3,0,1,0,"accounting","medium",43870
"379",0.31,0.56,4,238,2,0,1,0,"accounting","medium",43852
"380",0.77,0.93,4,231,5,0,1,0,"hr","medium",46042
"381",0.44,0.45,2,156,3,0,1,0,"hr","medium",48423
"382",0.38,0.46,2,145,3,0,1,0,"hr","medium",47475
"383",0.45,0.48,2,144,3,0,1,0,"marketing","medium",64414
"384",0.38,0.51,2,159,3,0,1,0,"sales","medium",56112
"385",0.36,0.48,2,156,3,0,1,0,"accounting","high",79790
"386",0.75,0.9,5,256,5,0,1,0,"support","low",30059
"387",0.1,0.93,6,298,4,0,1,0,"technical","medium",50880
"388",0.1,0.97,6,247,4,0,1,0,"management","medium",58278
"389",0.45,0.5,2,157,3,0,1,0,"marketing","medium",44899
"390",0.42,0.57,2,154,3,1,1,0,"marketing","medium",66251
"391",0.78,1,4,253,5,0,1,0,"marketing","low",28217
"392",0.45,0.55,2,148,3,0,1,0,"sales","low",32309
"393",0.84,1,4,261,5,0,1,0,"sales","low",35276
"394",0.11,0.93,6,282,4,0,1,0,"sales","low",27048
"395",0.42,0.56,2,133,3,0,1,0,"sales","low",31936
"396",0.45,0.46,2,128,3,0,1,0,"sales","low",26915
"397",0.46,0.57,2,139,3,0,1,0,"sales","low",32874
"398",0.09,0.79,6,293,5,0,1,0,"sales","low",33760
"399",0.87,0.83,4,265,6,0,1,0,"sales","low",39380
"400",0.1,0.87,6,250,4,0,1,0,"sales","low",22838
"401",0.91,1,5,251,6,0,1,0,"sales","low",37648
"402",0.76,0.92,4,246,5,0,1,0,"sales","low",38606
"403",0.74,1,5,275,5,0,1,0,"sales","low",24390
"404",0.92,0.93,5,240,5,0,1,0,"sales","low",34636
"405",0.76,0.87,5,245,5,0,1,0,"sales","low",38083
"406",0.47,0.5,4,254,4,0,1,0,"sales","low",39197
"407",0.73,0.99,5,241,5,0,1,0,"sales","low",33832
"408",0.09,0.94,6,257,4,0,1,0,"sales","low",34306
"409",0.91,0.92,4,246,5,0,1,0,"sales","low",37221
"410",0.82,0.98,4,233,5,0,1,0,"sales","low",34257
"411",0.28,0.45,6,218,4,0,1,0,"accounting","low",37142
"412",0.84,0.99,4,262,6,0,1,0,"accounting","medium",57906
"413",0.45,0.53,2,138,3,0,1,0,"accounting","medium",41539
"414",0.45,0.54,2,142,3,0,1,0,"hr","medium",49469
"415",0.91,0.97,5,233,5,0,1,0,"hr","medium",60897
"416",0.42,0.48,2,155,3,0,1,0,"hr","medium",66206
"417",0.82,1,4,229,6,0,1,0,"hr","medium",52040
"418",0.11,0.9,6,264,4,0,1,0,"technical","medium",45787
"419",0.42,0.53,3,199,4,0,1,0,"technical","medium",60832
"420",0.82,0.85,4,223,5,0,1,0,"technical","medium",44832
"421",0.09,0.96,6,268,4,0,1,0,"technical","medium",51516
"422",0.1,0.94,6,287,4,0,1,0,"technical","medium",66016
"423",0.86,1,5,257,5,0,1,0,"technical","medium",52919
"424",0.4,0.46,2,143,3,0,1,0,"technical","high",72331
"425",0.45,0.46,2,130,3,0,1,0,"technical","low",28028
"426",0.42,0.51,2,136,3,0,1,0,"technical","medium",40981
"427",0.74,0.92,4,261,5,0,1,0,"technical","medium",50181
"428",0.55,0.6,3,180,4,0,1,0,"technical","medium",58673
"429",0.37,0.45,2,126,3,0,1,0,"support","medium",57043
